Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0518	Predefined type 'System.Object' is not defined or imported	App2.Droid	c:\users\houss\documents\visual studio 2017\Projects\App2\App2\App2.Droid\MainActivity.cs	7	Active
Error	CS0234	The type or namespace name 'TargetFrameworkAttributeAttribute' does not exist in the namespace 'System.Runtime.Versioning' (are you missing an assembly reference?)	App2.Droid	C:\Users\houss\AppData\Local\Temp\MonoAndroid,Version=v7.1.AssemblyAttributes.cs	4	Active
Error	CS0234	The type or namespace name 'TargetFrameworkAttribute' does not exist in the namespace 'System.Runtime.Versioning' (are you missing an assembly reference?)	App2.Droid	C:\Users\houss\AppData\Local\Temp\MonoAndroid,Version=v7.1.AssemblyAttributes.cs	4	Active
Error	CS0518	Predefined type 'System.String' is not defined or imported	App2.Droid	C:\Users\houss\AppData\Local\Temp\MonoAndroid,Version=v7.1.AssemblyAttributes.cs	4	Active
Error	CS0246	The type or namespace name 'FrameworkDisplayName' could not be found (are you missing a using directive or an assembly reference?)	App2.Droid	C:\Users\houss\AppData\Local\Temp\MonoAndroid,Version=v7.1.AssemblyAttributes.cs	4	Active
Error	CS0518	Predefined type 'System.String' is not defined or imported	App2.Droid	C:\Users\houss\AppData\Local\Temp\MonoAndroid,Version=v7.1.AssemblyAttributes.cs	4	Active
Error	CS0012	The type 'Object' is defined in an assembly that is not referenced. You must add a reference to assembly 'mscorlib, Version=2.0.5.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e'.	App2.Droid	c:\users\houss\documents\visual studio 2017\Projects\App2\App2\App2.Droid\MainActivity.cs	7	Active
Error	CS0518	Predefined type 'System.Object' is not defined or imported	App2.Droid	c:\users\houss\documents\visual studio 2017\Projects\App2\App2\App2.Droid\MainActivity.cs	7	Active
Error	CS0518	Predefined type 'System.Void' is not defined or imported	App2.Droid	c:\users\houss\documents\visual studio 2017\Projects\App2\App2\App2.Droid\MainActivity.cs	7	Active
Error	CS0012	The type 'Object' is defined in an assembly that is not referenced. You must add a reference to assembly 'mscorlib, Version=2.0.5.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e'.	App2.Droid	c:\users\houss\documents\visual studio 2017\Projects\App2\App2\App2.Droid\MainActivity.cs	7	Active
Error	CS0246	The type or namespace name 'Label' could not be found (are you missing a using directive or an assembly reference?)	App2.Droid	c:\users\houss\documents\visual studio 2017\Projects\App2\App2\App2.Droid\MainActivity.cs	7	Active
Error	CS0518	Predefined type 'System.String' is not defined or imported	App2.Droid	c:\users\houss\documents\visual studio 2017\Projects\App2\App2\App2.Droid\MainActivity.cs	7	Active
